"shipping_mode","delivery_status","delivery_status_distribution"
"standard class","late delivery","2696"
"standard class","advance shipping","2645"
"second class","late delivery","1675"
"first class","late delivery","1675"
"standard class","shipping on time","1413"
"second class","shipping on time","416"
"same day","shipping on time","340"
"standard class","shipping canceled","301"
"same day","late delivery","294"
"second class","shipping canceled","73"
"first class","shipping canceled","52"
"same day","shipping canceled","34"
