"shipping_mode","delivery_status","delivery_status_distribution"
"standard class","advance shipping","11604"
"standard class","late delivery","11304"
"second class","late delivery","7596"
"first class","late delivery","7562"
"standard class","shipping on time","5526"
"second class","shipping on time","1874"
"same day","shipping on time","1343"
"standard class","shipping canceled","1306"
"same day","late delivery","1281"
"second class","shipping canceled","391"
"first class","shipping canceled","330"
"same day","shipping canceled","135"
