"shipping_mode","delivery_status","delivery_status_distribution"
"standard class","advance shipping","12039"
"standard class","late delivery","11790"
"second class","late delivery","7510"
"first class","late delivery","7471"
"standard class","shipping on time","5983"
"second class","shipping on time","1988"
"standard class","shipping canceled","1307"
"same day","late delivery","1273"
"same day","shipping on time","1255"
"second class","shipping canceled","441"
"first class","shipping canceled","415"
"same day","shipping canceled","122"
