"shipping_mode","delivery_status","delivery_status_distribution"
"standard class","advance shipping","9473"
"standard class","late delivery","9459"
"second class","late delivery","6293"
"first class","late delivery","5991"
"standard class","shipping on time","4698"
"second class","shipping on time","1536"
"same day","shipping on time","1166"
"same day","late delivery","969"
"standard class","shipping canceled","956"
"second class","shipping canceled","318"
"first class","shipping canceled","310"
"same day","shipping canceled","91"
