market,customer_segment,month,is_fraud
Europe,Consumer,5,0.08333333333333333
Europe,Consumer,6,0.02958801498127341
Europe,Consumer,7,0.021577380952380952
Europe,Consumer,8,0.026578073089700997
Europe,Consumer,9,0.02694721299372462
Europe,Consumer,10,0.02425467407781708
Europe,Corporate,5,0.0
Europe,Corporate,6,0.024374599101988453
Europe,Corporate,7,0.022781774580335732
Europe,Corporate,8,0.01756511205330103
Europe,Corporate,9,0.01881894873458793
Europe,Corporate,10,0.028044871794871796
Europe,Home Office,5,0.0
Europe,Home Office,6,0.014364640883977901
Europe,Home Office,7,0.006362672322375398
Europe,Home Office,8,0.023001095290251915
Europe,Home Office,9,0.02247191011235955
Europe,Home Office,10,0.016666666666666666
LATAM,Consumer,1,0.02316322837495476
LATAM,Consumer,2,0.02315963606286187
LATAM,Consumer,3,0.024686940966010734
LATAM,Consumer,4,0.015762463343108504
LATAM,Consumer,5,0.01877581674802854
LATAM,Corporate,1,0.02417854928704278
LATAM,Corporate,2,0.02565930149679259
LATAM,Corporate,3,0.02027027027027027
LATAM,Corporate,4,0.014794889038332213
LATAM,Corporate,5,0.028728606356968216
LATAM,Home Office,1,0.022198731501057084
LATAM,Home Office,2,0.025330396475770924
LATAM,Home Office,3,0.019169329073482427
LATAM,Home Office,4,0.026344676180021953
LATAM,Home Office,5,0.03628601921024546
Pacific Asia,Consumer,10,0.021929824561403508
Pacific Asia,Consumer,11,0.01856665428889714
Pacific Asia,Consumer,12,0.024665551839464884
Pacific Asia,Corporate,10,0.02977667493796526
Pacific Asia,Corporate,11,0.020227560050568902
Pacific Asia,Corporate,12,0.00738255033557047
Pacific Asia,Home Office,10,0.0
Pacific Asia,Home Office,11,0.01875
Pacific Asia,Home Office,12,0.019024970273483946
