"shipping_mode","product_name","product_price","num_of_transactions_record","average_late_days"
"first class","smart watch",327.75,"57","1.0000"
"first class","nike men's cj elite 2 td football cleat",129.99,"3206","1.0000"
"first class","web camera",452.04,"144","1.0000"
"first class","nike men's free 5.0+ running shoe",99.99,"1799","1.0000"
"first class","porcelain crafts",461.48,"79","1.0000"
"first class","perfect fitness perfect rip deck",59.99,"3577","1.0000"
"first class","children's heaters",357.1,"72","1.0000"
"first class","nike men's dri-fit victory golf polo",50,"3186","1.0000"
"first class","nike dri-fit crew sock 6 pack",22,"45","1.0000"
"first class","nike women's legend v-neck t-shirt",25,"46","1.0000"
"first class","under armour girls' toddler spine surge runni",39.99,"1603","1.0000"
"first class","diamondback women's serene classic comfort bi",299.98,"1960","1.0000"
"first class","field & stream sportsman 16 gun fire safe",399.98,"2578","1.0000"
"first class","sports books",31.08,"53","1.0000"
"first class","cds of rock",11.29,"42","1.0000"
"first class","first aid kit",293.04,"62","1.0000"
"first class","tyr boys' team digi jammer",39.99,"42","1.0000"
"first class","rock music",260.65,"70","1.0000"
"first class","under armour men's tech ii t-shirt",24.99,"38","1.0000"
"first class","team golf pittsburgh steelers putter grip",24.99,"41","1.0000"
"first class","under armour women's micro g skulpt running s",54.97,"43","1.0000"
"first class","adidas men's f10 messi trx fg soccer cleat",59.99,"42","1.0000"
"first class","bridgestone e6 straight distance nfl san dieg",31.99,"46","1.0000"
"first class","nike women's tempo shorts",30,"42","1.0000"
"first class","team golf st. louis cardinals putter grip",24.99,"61","1.0000"
"first class","glove it imperial golf towel",15.99,"49","1.0000"
"first class","titleist pro v1x high numbers personalized go",51.99,"45","1.0000"
"first class","under armour women's ignite pip vi slide",31.99,"54","1.0000"
"first class","titleist pro v1 high numbers personalized gol",51.99,"46","1.0000"
"first class","under armour hustle storm medium duffle bag",34.99,"45","1.0000"
"first class","adidas men's germany black crest away tee",25,"46","1.0000"
"first class","nike men's deutschland weltmeister winners bl",30,"54","1.0000"
"first class","adidas youth germany black/red away match soc",70,"48","1.0000"
"first class","team golf tennessee volunteers putter grip",24.99,"44","1.0000"
"first class","stiga master series st3100 competition indoor",329.99,"5","1.0000"
"first class","nike men's comfort 2 slide",44.99,"49","1.0000"
"first class","glove it women's mod oval 3-zip carry all gol",21.99,"40","1.0000"
"first class","industrial consumer electronics",252.88,"58","1.0000"
"first class","dell laptop",1500,"53","1.0000"
"first class","diamondback girls' clarity 24 hybrid bike 201",299.99,"5","1.0000"
"first class","adidas brazuca 2014 official match ball",159.99,"14","1.0000"
"first class","golfbuddy vt3 gps watch",199.99,"9","1.0000"
"first class","bushnell pro x7 jolt slope rangefinder",599.99,"1","1.0000"
"first class","garmin approach s3 golf gps watch",249.99,"10","1.0000"
"first class","dvds",164.38,"58","1.0000"
"first class","columbia men's pfg anchor tough t-shirt",30,"37","1.0000"
"first class","insta-bed neverflat air mattress",149.99,"8","1.0000"
"first class","adult dog supplies",84.4,"81","1.0000"
"first class","under armour women's ignite slide",31.99,"42","1.0000"
"first class","baby sweater",59.08,"33","1.0000"
"first class","summer dresses",215.82,"85","1.0000"
"first class","men's gala suit",210.85,"36","1.0000"
"first class","lawn mower",532.58,"73","1.0000"
"first class","team golf new england patriots putter grip",24.99,"40","1.0000"
"first class","fighting video games",39.75,"91","1.0000"
"first class","nike kids' grade school kd vi basketball shoe",99.99,"13","1.0000"
"first class","eno atlas hammock straps",29.99,"41","1.0000"
"first class","titleist pro v1x high numbers golf balls",47.99,"35","1.0000"
"first class","bridgestone e6 straight distance nfl carolina",31.99,"48","1.0000"
"first class","adidas kids' f5 messi fg soccer cleat",34.99,"47","1.0000"
"first class","glove it women's imperial golf glove",19.99,"42","1.0000"
"first class","diamondback boys' insight 24 performance hybr",299.99,"6","1.0000"
"first class","yakima doubledown ace hitch mount 4-bike rack",189,"9","1.0000"
"first class","total gym 1400",299.99,"6","1.0000"
"first class","nike men's kobe ix elite low basketball shoe",199.99,"9","1.0000"
"first class","mio alpha heart rate monitor/sport watch",199,"9","1.0000"
"first class","under armour kids' mercenary slide",27.99,"38","1.0000"
"first class","under armour men's compression ev sl slide",44.99,"43","1.0000"
"first class","bridgestone e6 straight distance nfl tennesse",31.99,"32","1.0000"
"first class","team golf san francisco giants putter grip",24.99,"44","1.0000"
"first class","glove it women's mod oval golf glove",19.99,"42","1.0000"
"first class","titleist pro v1x golf balls",47.99,"41","1.0000"
"first class","glove it urban brick golf towel",15.99,"38","1.0000"
"first class","team golf texas longhorns putter grip",24.99,"48","1.0000"
"first class","fitbit the one wireless activity & sleep trac",99.95,"9","1.0000"
"first class","hirzl women's soffft flex golf glove",17.99,"46","1.0000"
"first class","nike men's free tr 5.0 tb training shoe",99.99,"9","1.0000"
"first class","nike women's free 5.0 tr fit prt 4 training s",94.99,"9","1.0000"
"first class","polar loop activity tracker",109.95,"5","1.0000"
"first class","the north face women's recon backpack",99,"6","1.0000"
"first class","nike men's fingertrap max training shoe",124.99,"8","1.0000"
"first class","brooks women's ghost 6 running shoe",89.99,"9","1.0000"
"first class","polar ft4 heart rate monitor",89.99,"9","1.0000"
"first class","bowflex selecttech 1090 dumbbells",599.99,"3","1.0000"
"first class","hirzl women's hybrid golf glove",14.99,"37","1.0000"
"first class","hirzl men's hybrid golf glove",14.99,"36","1.0000"
"first class","taylormade 2014 purelite stand bag",179.99,"7","1.0000"
"first class","bag boy beverage holder",24.99,"42","1.0000"
"first class","bag boy m330 push cart",79.99,"14","1.0000"
"first class","clicgear 8.0 shoe brush",9.99,"30","1.0000"
"first class","titleist small wheeled travel cover",249.99,"13","1.0000"
"first class","clicgear rovic cooler bag",39.99,"44","1.0000"
"first class","garmin forerunner 910xt gps watch",399.99,"4","1.0000"
"first class","elevation training mask 2.0",79.99,"7","1.0000"
"first class","titleist club glove travel cover",299.99,"4","1.0000"
"first class","ogio race golf shoes",169.99,"19","1.0000"
"first class","lija women's argyle golf polo",80,"8","1.0000"
"first class","lija women's eyelet sleeveless golf polo",65,"47","1.0000"
"first class","lija women's button golf dress",108,"13","1.0000"
"first class","lija women's mid-length panel golf shorts",100,"9","1.0000"
"first class","taylormade women's rbz sl rescue",129.99,"13","1.0000"
"first class","cleveland golf women's 588 rtx cb satin chrom",119.99,"8","1.0000"
"first class","top flite women's 2014 xl hybrid",19.99,"36","1.0000"
"first class","mdgolf pittsburgh penguins putter",79.99,"10","1.0000"
"first class","taylormade white smoke in-12 putter",99.99,"5","1.0000"
"first class","cleveland golf collegiate my custom wedge 588",209.99,"10","1.0000"
"first class","merrell men's all out flash trail running sho",109.99,"8","1.0000"
"first class","merrell women's grassbow sport waterproof hik",129.99,"6","1.0000"
"first class","merrell women's siren mid waterproof hiking b",134.99,"8","1.0000"
"first class","merrell women's grassbow sport hiking shoe",99.99,"10","1.0000"
"first class","toys",11.54,"81","1.0000"
"first class","pelican sunstream 100 kayak",199.99,"2296","1.0000"
"first class","sole e25 elliptical",999.99,"2","1.0000"
"first class","garmin approach s4 golf gps watch",299.99,"4","1.0000"
"first class","pelican maverick 100x kayak",349.99,"8","1.0000"
"first class","o'brien men's neoprene life vest",49.98,"2772","1.0000"
"first class","gopro hero3+ black edition camera",399.99,"3","1.0000"
"first class","sole e35 elliptical",1999.99,"2","1.0000"
"same day","smart watch",327.75,"10","1.0000"
"same day","nike dri-fit crew sock 6 pack",22,"4","1.0000"
"same day","nike women's legend v-neck t-shirt",25,"16","1.0000"
"same day","industrial consumer electronics",252.88,"18","1.0000"
"same day","nike men's free 5.0+ running shoe",99.99,"282","1.0000"
"same day","nike men's cj elite 2 td football cleat",129.99,"534","1.0000"
"same day","field & stream sportsman 16 gun fire safe",399.98,"407","1.0000"
"same day","diamondback women's serene classic comfort bi",299.98,"338","1.0000"
"same day","sports books",31.08,"32","1.0000"
"same day","under armour girls' toddler spine surge runni",39.99,"266","1.0000"
"same day","adult dog supplies",84.4,"23","1.0000"
"same day","lawn mower",532.58,"15","1.0000"
"same day","fighting video games",39.75,"23","1.0000"
"same day","rock music",260.65,"11","1.0000"
"same day","nike men's dri-fit victory golf polo",50,"512","1.0000"
"same day","under armour women's micro g skulpt running s",54.97,"9","1.0000"
"same day","perfect fitness perfect rip deck",59.99,"606","1.0000"
"same day","team golf pittsburgh steelers putter grip",24.99,"6","1.0000"
"same day","nike men's free tr 5.0 tb training shoe",99.99,"1","1.0000"
"same day","team golf st. louis cardinals putter grip",24.99,"7","1.0000"
"same day","team golf tennessee volunteers putter grip",24.99,"4","1.0000"
