"Market + customer_segment",product_name,product_price,sales,year_month,average_benefit_per_order,Distribution
"Pacific Asia&Home Office","Perfect Fitness Perfect Rip Deck",59.99000168,119.9800034,2016-02,9.500357236535715,28
"Pacific Asia&Home Office","Under Armour Girls' Toddler Spine Surge Runni",39.99000168,79.98000336,2016-10,-43.515001319999996,2
"Pacific Asia&Home Office","Under Armour Girls' Toddler Spine Surge Runni",39.99000168,79.98000336,2016-11,20.390000023333332,3
"USCA&Home Office","Perfect Fitness Perfect Rip Deck",59.99000168,119.9800034,2016-04,-19.382001169733332,15
"USCA&Home Office","Perfect Fitness Perfect Rip Deck",59.99000168,119.9800034,2016-05,2.472727869333335,33
"Africa&Home Office","Under Armour Girls' Toddler Spine Surge Runni",39.99000168,119.9700012,2016-11,20.959999988,7
"Africa&Home Office","Glove It Women's Mod Oval 3-Zip Carry All Gol",21.98999977,65.97000122,2016-11,-3.650000095,1
"Africa&Home Office","Bridgestone e6 Straight Distance NFL San Dieg",31.98999977,95.97000122,2016-12,38.22999954,1
"Europe&Home Office","Perfect Fitness Perfect Rip Deck",59.99000168,179.9700012,2015-09,21.110499095999998,20
"Europe&Home Office","Perfect Fitness Perfect Rip Deck",59.99000168,179.9700012,2017-07,30.695599745599992,25
"Europe&Home Office","Perfect Fitness Perfect Rip Deck",59.99000168,179.9700012,2017-08,41.52736859621052,19
"Europe&Home Office","Under Armour Girls' Toddler Spine Surge Runni",39.99000168,119.9700012,2017-08,13.610999389899996,10
"Europe&Home Office","Glove It Women's Mod Oval 3-Zip Carry All Gol",21.98999977,65.97000122,2015-07,7.760000229,1
"LATAM&Home Office","Perfect Fitness Perfect Rip Deck",59.99000168,179.9700012,2017-04,20.42839962056,25
"LATAM&Home Office","Perfect Fitness Perfect Rip Deck",59.99000168,179.9700012,2017-05,25.552692687192312,26
"LATAM&Home Office","Perfect Fitness Perfect Rip Deck",59.99000168,179.9700012,2015-04,2.189443758083333,36
"LATAM&Home Office","Perfect Fitness Perfect Rip Deck",59.99000168,179.9700012,2017-06,16.639999648666667,15
"LATAM&Home Office","Perfect Fitness Perfect Rip Deck",59.99000168,179.9700012,2017-02,24.947741461838714,31
"LATAM&Home Office","Under Armour Girls' Toddler Spine Surge Runni",39.99000168,119.9700012,2015-04,4.608750552375,8
"LATAM&Home Office","Under Armour Girls' Toddler Spine Surge Runni",39.99000168,119.9700012,2017-01,22.659999848,6
