"Market + customer_segment",product_name,product_price,sales,year_month,average_benefit_per_order,Distribution
LATAM&Consumer,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,199.9499969,2015-04,36.57181761409091,11
LATAM&Consumer,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,199.9499969,2015-03,18.59428515428571,7
LATAM&Consumer,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,199.9499969,2015-01,-18.019998549,10
LATAM&Consumer,"Perfect Fitness Perfect Rip Deck",59.99000168,299.9500122,2015-01,40.5475006181,20
LATAM&Corporate,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,79.98000336,2015-04,18.337142807285716,7
LATAM&Corporate,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,79.98000336,2015-02,26.2574996975,4
LATAM&Corporate,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,79.98000336,2015-05,-3.7816664976666665,6
LATAM&Corporate,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,79.98000336,2015-01,-5.528333026666666,6
LATAM&Corporate,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,79.98000336,2015-03,19.6179998398,5
LATAM&Corporate,"Bridgestone e6 Straight Distance NFL Tennesse",31.98999977,63.97999954,2015-05,19,1
LATAM&Corporate,"Team Golf Texas Longhorns Putter Grip",24.98999977,49.97999954,2015-03,13.69999981,1
LATAM&Corporate,"Glove It Women's Imperial Golf Glove",19.98999977,39.97999954,2015-05,15.82999992,1
LATAM&Corporate,"Titleist Pro V1x High Numbers Golf Balls",47.99000168,95.98000336,2015-05,26.44000053,1
LATAM&Consumer,"Perfect Fitness Perfect Rip Deck",59.99000168,299.9500122,2015-03,37.83357136664286,28
LATAM&Consumer,"Perfect Fitness Perfect Rip Deck",59.99000168,299.9500122,2015-05,-6.164286065571425,14
LATAM&Consumer,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,199.9499969,2015-02,70.43000030600001,5
LATAM&Consumer,"Team Golf New England Patriots Putter Grip",24.98999977,124.9499969,2015-05,55.09999847,1
LATAM&Consumer,"Titleist Pro V1x Golf Balls",47.99000168,239.9499969,2015-01,48.720000735,2
LATAM&Consumer,"Team Golf San Francisco Giants Putter Grip",24.98999977,124.9499969,2015-01,31.87999916,1
LATAM&Consumer,"Team Golf Texas Longhorns Putter Grip",24.98999977,124.9499969,2015-01,53.43999863,1
