"Market + customer_segment",product_name,product_price,sales,year_month,average_benefit_per_order,Distribution
LATAM&Consumer,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,199.9499969,2017-02,-11.851248743749997,8
LATAM&Consumer,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,199.9499969,2015-04,36.57181761409091,11
LATAM&Consumer,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,199.9499969,2017-04,-2.523332833333333,12
LATAM&Consumer,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,199.9499969,2015-03,18.59428515428571,7
LATAM&Consumer,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,199.9499969,2015-01,-18.019998549,10
LATAM&Consumer,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,199.9499969,2017-06,62.957142968571425,7
LATAM&Consumer,"Titleist Pro V1x Golf Balls",47.99000168,239.9499969,2017-04,23.845000265,2
LATAM&Consumer,"Bridgestone e6 Straight Distance NFL Tennesse",31.98999977,159.9499969,2017-02,73.69999695,1
LATAM&Consumer,"Perfect Fitness Perfect Rip Deck",59.99000168,299.9500122,2017-03,69.25666630533334,15
LATAM&Consumer,"Perfect Fitness Perfect Rip Deck",59.99000168,299.9500122,2017-02,32.70583290175,24
LATAM&Consumer,"Perfect Fitness Perfect Rip Deck",59.99000168,299.9500122,2017-01,48.37799987999999,5
LATAM&Consumer,"Perfect Fitness Perfect Rip Deck",59.99000168,299.9500122,2017-05,20.80807678346154,26
LATAM&Consumer,"Perfect Fitness Perfect Rip Deck",59.99000168,299.9500122,2015-01,40.5475006181,20
Africa&Consumer,"Perfect Fitness Perfect Rip Deck",59.99000168,239.9600067,2016-09,64.30500018849999,8
Africa&Consumer,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,159.9600067,2017-01,22.269999980999998,3
Africa&Consumer,"Team Golf Texas Longhorns Putter Grip",24.98999977,99.95999908,2016-09,3.039999962,1
Africa&Consumer,"Perfect Fitness Perfect Rip Deck",59.99000168,239.9600067,2016-10,21.59999943,8
Africa&Consumer,"Perfect Fitness Perfect Rip Deck",59.99000168,239.9600067,2017-01,75.02000122199999,5
Africa&Consumer,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,159.9600067,2016-09,28.454285808857144,7
Africa&Consumer,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,159.9600067,2016-12,44.092856779857144,7
Africa&Consumer,"Team Golf St. Louis Cardinals Putter Grip",24.98999977,99.95999908,2016-12,46.29000092,1
LATAM&Corporate,"Perfect Fitness Perfect Rip Deck",59.99000168,119.9800034,2017-03,27.5040003796,10
LATAM&Corporate,"Perfect Fitness Perfect Rip Deck",59.99000168,119.9800034,2017-06,43.956666829166664,6
LATAM&Corporate,"Perfect Fitness Perfect Rip Deck",59.99000168,119.9800034,2017-02,4.423333800000001,6
LATAM&Corporate,"Perfect Fitness Perfect Rip Deck",59.99000168,119.9800034,2017-04,15.426999664000002,10
LATAM&Corporate,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,79.98000336,2015-04,18.337142807285716,7
LATAM&Corporate,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,79.98000336,2017-05,9.172000504,5
LATAM&Corporate,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,79.98000336,2015-02,26.2574996975,4
LATAM&Corporate,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,79.98000336,2015-05,-3.7816664976666665,6
LATAM&Corporate,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,79.98000336,2017-04,5.967143195714283,7
LATAM&Corporate,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,79.98000336,2015-01,-5.528333026666666,6
LATAM&Corporate,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,79.98000336,2017-06,12.3359999658,5
LATAM&Corporate,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,79.98000336,2017-02,-4.479999863666667,6
LATAM&Corporate,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,79.98000336,2015-03,19.6179998398,5
LATAM&Corporate,"Bridgestone e6 Straight Distance NFL Tennesse",31.98999977,63.97999954,2015-05,19,1
LATAM&Corporate,"Team Golf Texas Longhorns Putter Grip",24.98999977,49.97999954,2015-03,13.69999981,1
LATAM&Corporate,"Glove It Women's Imperial Golf Glove",19.98999977,39.97999954,2015-05,15.82999992,1
LATAM&Corporate,"Titleist Pro V1x High Numbers Golf Balls",47.99000168,95.98000336,2015-05,26.44000053,1
