order_year,order_month,market,total_sales
2015,1,latam,1051590.08
2015,2,latam,927009.9
2015,3,latam,1051253.69
2015,4,latam,1014463.28
2015,5,europe,22606.92
2015,5,latam,1027871.52
2015,6,europe,1024006.17
2015,7,europe,1038081.19
2015,8,europe,1029494.69
2015,9,europe,1018338.6
2015,10,europe,780877.87
2015,10,"pacific asia",268276.41
2015,11,"pacific asia",1029120.24
2015,12,"pacific asia",1057840.88
2016,1,"pacific asia",1046308.25
2016,2,"pacific asia",968542.85
2016,3,"pacific asia",1025853.12
2016,4,"pacific asia",31615.07
2016,4,usca,969596.51
2016,5,usca,1029400.2
2016,6,usca,1003059.55
2016,7,usca,1045715.62
2016,8,africa,96740.44
2016,8,europe,27253.63
2016,8,"pacific asia",82106.42
2016,8,usca,842099.76
2016,9,africa,507614.66
2016,9,europe,163844.04
2016,9,"pacific asia",297721.69
2016,9,usca,33216.65
2016,10,africa,462024.89
2016,10,europe,195124.2
2016,10,"pacific asia",359156.63
2016,10,usca,31824.83
2016,11,africa,492548.65
2016,11,europe,194659.65
2016,11,"pacific asia",312580.49
2016,11,usca,47801.35
2016,12,africa,487694.12
2016,12,europe,180441.81
2016,12,"pacific asia",328521.19
2016,12,usca,40751.05
2017,1,africa,247830.16
2017,1,europe,114012.87
2017,1,latam,439543.33
2017,1,"pacific asia",205248.46
2017,1,usca,23063.19
2017,2,latam,992534.9
2017,3,latam,1048004.78
2017,4,latam,1038321.62
2017,5,latam,1105485.32
2017,6,europe,450552.07
2017,6,latam,581534.42
2017,7,europe,1104373.36
2017,8,europe,1109337.17
2017,9,europe,1143775.11
2017,10,europe,1073994.17
2017,11,europe,201623.26
2017,11,"pacific asia",425291.12
2017,12,"pacific asia",503910.82
2018,1,"pacific asia",331650.12
