shipping_mode,category_name_new,product_name,product_price,num_of_transactions_record,average_late_days,weighted_impact
"second class","sports equipment & accessories","perfect fitness perfect rip deck",59.99,3706,2.5016,0.34353578
"second class",footwear,"nike men's cj elite 2 td football cleat",129.99,3370,2.4935,0.31137214
"second class","clothing & apparel","nike men's dri-fit victory golf polo",50,3050,2.5266,0.28554489
"second class",outdoor,"o'brien men's neoprene life vest",49.98,2870,2.4899,0.26479416
"second class",miscellaneous,"field & stream sportsman 16 gun fire safe",399.98,2562,2.4949,0.23685478
"second class",outdoor,"pelican sunstream 100 kayak",199.99,2365,2.4732,0.21673398
"second class","sports equipment & accessories","diamondback women's serene classic comfort bi",299.98,2004,2.4636,0.18293993
"second class",footwear,"nike men's free 5.0+ running shoe",99.99,1780,2.4770,0.16337496
"second class","sports equipment & accessories","under armour girls' toddler spine surge runni",39.99,1618,2.5358,0.15203617
"second class","electronics & gadgets","fighting video games",39.75,135,2.5037,0.01252455
"second class","clothing & apparel","summer dresses",215.82,118,2.5169,0.01100530
"second class","electronics & gadgets","children's heaters",357.1,111,2.5045,0.01030126
"second class","electronics & gadgets","web camera",452.04,89,2.5618,0.00844851
"second class","pet supplies","adult dog supplies",84.4,91,2.3626,0.00796680
"second class","electronics & gadgets","industrial consumer electronics",252.88,83,2.5422,0.00781858
"second class",outdoor,"lawn mower",532.58,70,2.7000,0.00700337
"second class",miscellaneous,"porcelain crafts",461.48,74,2.4865,0.00681810
"second class","toys & games",toys,11.54,74,2.4054,0.00659577
"second class",miscellaneous,dvds,164.38,65,2.5692,0.00618816
"second class","electronics & gadgets","rock music",260.65,65,2.3538,0.00566940
"second class","electronics & gadgets","dell laptop",1500,57,2.6491,0.00559529
"second class","sports equipment & accessories","glove it women's mod oval 3-zip carry all gol",21.99,54,2.7593,0.00552118
"second class","electronics & gadgets","smart watch",327.75,55,2.6182,0.00533590
"second class",footwear,"adidas men's f10 messi trx fg soccer cleat",59.99,51,2.7451,0.00518768
"second class","sports equipment & accessories","glove it urban brick golf towel",15.99,54,2.5185,0.00503946
"second class","sports equipment & accessories","titleist pro v1x high numbers personalized go",51.99,55,2.4727,0.00503946
"second class","sports equipment & accessories","team golf st. louis cardinals putter grip",24.99,52,2.5577,0.00492830
"second class","clothing & apparel","lija women's eyelet sleeveless golf polo",65,55,2.3818,0.00485419
"second class","sports equipment & accessories","hirzl women's hybrid golf glove",14.99,47,2.7660,0.00481713
"second class","sports equipment & accessories","clicgear 8.0 shoe brush",9.99,50,2.6000,0.00481713
"second class",footwear,"nike men's comfort 2 slide",44.99,52,2.4615,0.00474302
