"category_name_new","product_name","product_price","total_sales","average_benefit_per_order","average_item_profit_ratio"
"miscellaneous","field & stream sportsman 16 gun fire safe",399.98,6929653.69057627,43.65,0.12
"sports equipment & accessories","perfect fitness perfect rip deck",59.99,4421143.143537299,20.14,0.12
"sports equipment & accessories","diamondback women's serene classic comfort bi",299.98,4118425.571018018,31.14,0.12
"footwear","nike men's free 5.0+ running shoe",99.99,3667633.196630269,31.22,0.12
"clothing & apparel","nike men's dri-fit victory golf polo",50,3147800,16.66,0.12
"outdoor","pelican sunstream 100 kayak",199.99,3099845.085250363,20.91,0.12
"footwear","nike men's cj elite 2 td football cleat",129.99,2891757.66235332,14.02,0.12
"outdoor","o'brien men's neoprene life vest",49.98,2888993.913505316,16.5,0.12
"sports equipment & accessories","under armour girls' toddler spine surge runni",39.99,1269082.6711081346,11.89,0.11
"electronics & gadgets","dell laptop",1500,663000,157.59,0.12
"electronics & gadgets","web camera",452.04,267607.68503199564,51.17,0.13
"outdoor","lawn mower",532.58,257768.7282764004,69.1,0.14
"electronics & gadgets","children's heaters",357.1,232829.20397719735,41.68,0.13
"miscellaneous","porcelain crafts",461.48,223356.3253240023,52.75,0.13
"clothing & apparel","summer dresses",215.82,140283.00474500115,29.39,0.15
"electronics & gadgets","smart watch",327.75,117006.75,35.07,0.12
"electronics & gadgets","rock music",260.65,113122.09735260086,33.26,0.14
"electronics & gadgets","industrial consumer electronics",252.88,108991.2821118994,30.68,0.13
"miscellaneous","first aid kit",293.04,106080.48307700004,26.23,0.1
"miscellaneous","dvds",164.38,79395.54236669937,13.78,0.1
"clothing & apparel","adidas youth germany black/red away match soc",70,67830,25.89,0.11
"clothing & apparel","lija women's eyelet sleeveless golf polo",65,61490,21.85,0.11
"footwear","adidas men's f10 messi trx fg soccer cleat",59.99,56330.61164488009,26.93,0.14
"sports equipment & accessories","titleist pro v1x high numbers personalized go",51.99,47206.92146286002,21.8,0.15
"footwear","under armour women's micro g skulpt running s",54.97,46559.59103433994,15.57,0.12
"footwear","nike men's comfort 2 slide",44.99,44585.09062432002,17.52,0.13
"sports equipment & accessories","titleist pro v1 high numbers personalized gol",51.99,44243.4913826,20.87,0.15
"clothing & apparel","men's gala suit",210.85,43856.80126880016,9.64,0.05
"pet supplies","adult dog supplies",84.4,41524.800752759904,7.3,0.09
"sports equipment & accessories","titleist pro v1x golf balls",47.99,41415.370528439984,12.71,0.1
"sports equipment & accessories","titleist pro v1x high numbers golf balls",47.99,38392.00052235995,17.33,0.13
"footwear","under armour men's compression ev sl slide",44.99,36576.87057465993,13.38,0.13
"clothing & apparel","tyr boys' team digi jammer",39.99,35191.20063339992,12.2,0.12
"sports equipment & accessories","clicgear rovic cooler bag",39.99,34671.33045857993,10.43,0.1
"electronics & gadgets","fighting video games",39.75,33310.5,3.24,0.09
"sports equipment & accessories","sole e35 elliptical",1999.99,29999.849850000013,-64.34,-0.03
"outdoor","eno atlas hammock straps",29.99,29930.01974216,6.62,0.07
"sports equipment & accessories","bridgestone e6 straight distance nfl carolina",31.99,29686.71978551999,10.35,0.12
"sports equipment & accessories","under armour hustle storm medium duffle bag",34.99,29601.54064157993,13.6,0.15
"footwear","under armour women's ignite slide",31.99,29398.809778279992,12.96,0.14
"sports equipment & accessories","bridgestone e6 straight distance nfl san dieg",31.99,28982.93982142,6.52,0.11
"clothing & apparel","columbia men's pfg anchor tough t-shirt",30,27840,8.08,0.11
"footwear","adidas kids' f5 messi fg soccer cleat",34.99,27327.190540159947,11.09,0.13
"clothing & apparel","nike men's deutschland weltmeister winners bl",30,27210,8.95,0.12
"sports equipment & accessories","nike women's tempo shorts",30,27210,9.73,0.11
"footwear","under armour women's ignite pip vi slide",31.99,27127.519792219984,7.22,0.1
"sports equipment & accessories","bridgestone e6 straight distance nfl tennesse",31.99,25751.949755949998,9.19,0.11
"sports equipment & accessories","team golf st. louis cardinals putter grip",24.99,23940.419775150025,8.99,0.11
"sports equipment & accessories","team golf tennessee volunteers putter grip",24.99,22865.849746840027,7.92,0.13
"clothing & apparel","lija women's mid-length panel golf shorts",100,22700,40.89,0.14
"sports equipment & accessories","team golf texas longhorns putter grip",24.99,22366.04983238004,10.3,0.15
"footwear","under armour kids' mercenary slide",27.99,22252.049783579994,9.69,0.14
"sports equipment & accessories","team golf pittsburgh steelers putter grip",24.99,22166.12984186002,10.3,0.16
"sports equipment & accessories","team golf san francisco giants putter grip",24.99,21766.289810800045,9.54,0.14
"clothing & apparel","adidas men's germany black crest away tee",25,21475,9.81,0.14
"sports equipment & accessories","bag boy beverage holder",24.99,21116.54977639002,11.38,0.16
"clothing & apparel","under armour men's tech ii t-shirt",24.99,20866.649801890035,8.53,0.13
"footwear","merrell women's grassbow sport hiking shoe",99.99,20697.929992219997,25.98,0.11
"footwear","nike men's free tr 5.0 tb training shoe",99.99,20597.93996418,10.51,0.06
"sports equipment & accessories","team golf new england patriots putter grip",24.99,20566.76981797999,9.07,0.12
"sports equipment & accessories","glove it women's mod oval 3-zip carry all gol",21.99,20450.69974701004,7.65,0.14
"clothing & apparel","nike women's legend v-neck t-shirt",25,20025,9.94,0.14
"footwear","nike women's free 5.0 tr fit prt 4 training s",94.99,19567.94001723999,22.35,0.09
"footwear","nike dri-fit crew sock 6 pack",22,19426,6.97,0.12
"sports equipment & accessories","taylormade white smoke in-12 putter",99.99,19298.069892939995,40.32,0.17
"electronics & gadgets","garmin approach s3 golf gps watch",249.99,19249.23042349999,31.59,0.14
"footwear","brooks women's ghost 6 running shoe",89.99,19077.880035319995,39.5,0.12
"sports equipment & accessories","glove it women's imperial golf glove",19.99,18810.589793749987,6.92,0.14
"electronics & gadgets","fitbit the one wireless activity & sleep trac",99.95,18690.64982614999,33.68,0.11
"footwear","nike kids' grade school kd vi basketball shoe",99.99,18598.1399916,31.38,0.14
"sports equipment & accessories","elevation training mask 2.0",79.99,18477.689971699994,44.59,0.19
"outdoor","the north face women's recon backpack",99,17919,49.19,0.16
"sports equipment & accessories","top flite women's 2014 xl hybrid",19.99,17731.129811809977,6.04,0.1
"electronics & gadgets","polar ft4 heart rate monitor",89.99,17638.040054079996,57.95,0.24
"sports equipment & accessories","bag boy m330 push cart",79.99,16637.919929479995,43.03,0.18
"sports equipment & accessories","glove it women's mod oval golf glove",19.99,16031.97982175997,8.69,0.17
"sports equipment & accessories","hirzl women's soffft flex golf glove",17.99,15993.109805659964,4.85,0.09
"clothing & apparel","lija women's argyle golf polo",80,15600,22.92,0.09
"sports equipment & accessories","glove it imperial golf towel",15.99,14870.699788639964,5.5,0.11
"sports equipment & accessories","glove it urban brick golf towel",15.99,14151.149793259989,5.21,0.13
"electronics & gadgets","garmin forerunner 910xt gps watch",399.99,13999.649656999994,11.18,0.04
"outdoor","pelican maverick 100x kayak",349.99,13999.599607999997,26.76,0.08
"sports equipment & accessories","cleveland golf collegiate my custom wedge 588",209.99,13649.35035749999,14.69,0.08
"sports equipment & accessories","titleist small wheeled travel cover",249.99,13499.460296999992,18.73,0.09
"electronics & gadgets","mio alpha heart rate monitor/sport watch",199,13333,18.53,0.1
"sports equipment & accessories","hirzl women's hybrid golf glove",14.99,13311.119813529976,3.84,0.11
"sports equipment & accessories","hirzl men's hybrid golf glove",14.99,12951.359807529978,4.17,0.08
"electronics & gadgets","gopro hero3+ black edition camera",399.99,12799.679686399995,7.68,0.02
"sports equipment & accessories","nike men's kobe ix elite low basketball shoe",199.99,12599.370346499993,17.15,0.1
"miscellaneous","sports books",31.08,12587.399967600086,2.18,0.08
"clothing & apparel","baby sweater",59.08,12229.560378809958,7.37,0.14
"sports equipment & accessories","yakima doubledown ace hitch mount 4-bike rack",189,12096,16.43,0.1
"sports equipment & accessories","golfbuddy vt3 gps watch",199.99,11799.410324499991,9.64,0.06
"sports equipment & accessories","taylormade 2014 purelite stand bag",179.99,11699.350357499992,11.23,0.06
"sports equipment & accessories","mdgolf pittsburgh penguins putter",79.99,11598.54988116,28.93,0.19
"sports equipment & accessories","total gym 1400",299.99,10799.639647199996,22.46,0.09
"electronics & gadgets","garmin approach s4 golf gps watch",299.99,10799.639647199996,33.58,0.12
"sports equipment & accessories","adidas brazuca 2014 official match ball",159.99,10399.350357499992,25.27,0.18
"sports equipment & accessories","ogio race golf shoes",169.99,10369.390335499991,29.67,0.19
"sports equipment & accessories","titleist club glove travel cover",299.99,10199.659666799997,38.6,0.14
"sports equipment & accessories","sole e25 elliptical",999.99,9999.899902,-16.96,-0.04
"footwear","merrell women's siren mid waterproof hiking b",134.99,9449.300384999991,17.68,0.14
"footwear","merrell men's all out flash trail running sho",109.99,9349.14982150001,16.84,0.18
"outdoor","insta-bed neverflat air mattress",149.99,8999.400329999993,17.28,0.13
"sports equipment & accessories","stiga master series st3100 competition indoor",329.99,8909.729735399998,17.75,0.05
"sports equipment & accessories","clicgear 8.0 shoe brush",9.99,8871.119937155996,2.86,0.13
"sports equipment & accessories","taylormade women's rbz sl rescue",129.99,8839.320373999992,19.05,0.16
"sports equipment & accessories","diamondback boys' insight 24 performance hybr",299.99,8699.709715799998,59.68,0.23
"sports equipment & accessories","diamondback girls' clarity 24 hybrid bike 201",299.99,8399.719725599998,10.16,0.04
"sports equipment & accessories","cleveland golf women's 588 rtx cb satin chrom",119.99,8399.299853000008,5.29,0.05
"clothing & apparel","lija women's button golf dress",108,8208,15.22,0.16
"sports equipment & accessories","nike men's fingertrap max training shoe",124.99,7999.359865600007,9.41,0.09
"footwear","merrell women's grassbow sport waterproof hik",129.99,7539.4203189999935,17.75,0.15
"sports equipment & accessories","bushnell pro x7 jolt slope rangefinder",599.99,6599.889892199998,-23.27,-0.02
"toys & games","toys",11.54,6104.659978840051,1.7,0.16
"sports equipment & accessories","bowflex selecttech 1090 dumbbells",599.99,5999.899901999998,119.08,0.23
"electronics & gadgets","polar loop activity tracker",109.95,5937.299832599996,6.04,0.06
"miscellaneous","cds of rock",11.29,3059.5899891599897,1.42,0.14
